origin_id,origin_uid,id,uid,created_at
,0c03bb4aa8,Jwh1IakUG,0c03bb4aa8,2020-10-03 17:56:53.333333334
,3c7bded36d,JwhHsocVh,3c7bded36d,2020-10-03 17:57:13.333333334
,1682df87cf,JwhQ7zhH3,1682df87cf,2020-10-03 17:57:46.666666667
JwhHsocVh,3c7bded36d,JwhRfDo9R,6f32b402fd,2020-10-03 17:58:00.000000000
Jwh1IakUG,0c03bb4aa8,JwhRaBYTQ,b1e20c1121,2020-10-03 17:58:00.000000000
JwhQ7zhH3,1682df87cf,Jwi5O7NlC,1467fa8713,2020-10-03 17:59:00.000000000
Jwh1IakUG,0c03bb4aa8,JwigmjKir,a8443a26df,2020-10-03 18:00:00.000000000
Jwh1IakUG,0c03bb4aa8,JwippnGCd,07f1d5bd09,2020-10-03 18:04:00.000000000
JwhHsocVh,3c7bded36d,JwiuQgvAq,c9e7fef173,2020-10-03 18:04:00.000000000
JwhHsocVh,3c7bded36d,Jwiv305BG,4ae3757c8e,2020-10-03 18:04:00.000000000
Jwh1IakUG,0c03bb4aa8,JwiitaIxB,0d0251daec,2020-10-03 18:04:00.000000000
JwhHsocVh,3c7bded36d,JwiLWyiQP,33cee29d4b,2020-10-03 18:05:00.000000000
Jwh1IakUG,0c03bb4aa8,JwjrFvRZA,e269af90df,2020-10-03 18:07:00.000000000
Jwh1IakUG,0c03bb4aa8,Jwk1nmChI,a7c421afa6,2020-10-03 18:08:00.000000000
JwhQ7zhH3,1682df87cf,JwjsixfZg,8bd7749be6,2020-10-03 18:08:00.000000000
JwhQ7zhH3,1682df87cf,JwvflrbSM,45ebe2fc47,2020-10-03 18:09:00.000000000
JwhQ7zhH3,1682df87cf,JwBnImHmS,ed142a9ca5,2020-10-03 18:10:00.000000000
