origin_id,origin_uid,id,uid,created_at
,f8047c9246,JmUhSmALO,f8047c9246,2020-10-03 09:24:33.333333334
,21bab64141,JmUEPfRiq,21bab64141,2020-10-03 15:22:38.888888889
JmUEPfRiq,21bab64141,JmUFNs8Ro,d4e62c2c5d,2020-10-03 15:56:41.000000000
,eeaaf7964a,JmUFW4H41,eeaaf7964a,2020-10-03 17:04:40.000000000
,8c9c586326,JmUFU2PVg,8c9c586326,2020-10-03 17:14:26.666666667
JmUEPfRiq,21bab64141,JmUG3qEUm,9cf3316bb3,2020-10-03 17:30:00.000000000
JmUFU2PVg,8c9c586326,JmUGBqEJm,a9ec0a334f,2020-10-03 17:31:00.000000000
JmUEPfRiq,21bab64141,JmUGqvLwC,b73ac1673f,2020-10-03 17:34:00.000000000
JmUFW4H41,eeaaf7964a,JmUGuhUSy,dfef8c4e3d,2020-10-03 17:36:00.000000000
JmUFW4H41,eeaaf7964a,JmUGobajY,a9ec0a334f,2020-10-03 17:42:00.000000000
JmUFU2PVg,8c9c586326,JmUGCiOww,b24e60ee77,2020-10-03 17:44:00.000000000
JmUFU2PVg,8c9c586326,JmUGB6RlL,dfef8c4e3d,2020-10-03 17:56:00.000000000
JmUFW4H41,eeaaf7964a,JmUGPzpqa,a1f36401f0,2020-10-03 17:58:00.000000000
JmUFW4H41,eeaaf7964a,JmUGNvjbQ,aa2efb39d8,2020-10-03 17:58:00.000000000
JmUFW4H41,eeaaf7964a,JmUGNdLsf,1a6a607214,2020-10-03 17:58:00.000000000
JmUFU2PVg,8c9c586326,JmUGPBAoK,62922d4989,2020-10-03 17:59:00.000000000
JmUFW4H41,eeaaf7964a,JmUHbtExM,856685353a,2020-10-03 18:00:00.000000000
JmUFW4H41,eeaaf7964a,JmUH2zuwG,27f0b62fe7,2020-10-03 18:01:00.000000000
,b165db9a88,JmUGk0Oa1,b165db9a88,2020-10-03 18:03:20.000000000
,86b2ba1228,JmUGO99ew,86b2ba1228,2020-10-03 18:03:26.666666667
,bfbd422d9b,JmUHdhffu,bfbd422d9b,2020-10-03 18:04:00.000000000
JmUGO99ew,86b2ba1228,JmUHqyVpl,b24e60ee77,2020-10-03 18:05:00.000000000
JmUGO99ew,86b2ba1228,JmUHngJJB,00875ce59b,2020-10-03 18:07:00.000000000
JmUGO99ew,86b2ba1228,JmUHIiO5U,dfef8c4e3d,2020-10-03 18:08:00.000000000
JmUGO99ew,86b2ba1228,JmUHuES0q,4c1a1e7957,2020-10-03 18:08:00.000000000
JmUGO99ew,86b2ba1228,JmUHK218F,39dc09bb99,2020-10-03 18:10:00.000000000
JmUFW4H41,eeaaf7964a,JmUHEbLRj,90924f923d,2020-10-03 18:11:00.000000000
JmUGO99ew,86b2ba1228,JmUHCn64O,698d304ce5,2020-10-03 18:12:00.000000000
JmUGO99ew,86b2ba1228,JmUHJrrck,dfef8c4e3d,2020-10-03 18:13:00.000000000
JmUGk0Oa1,b165db9a88,JmUHGxqkf,b49fdbd5aa,2020-10-03 18:13:00.000000000
JmUFW4H41,eeaaf7964a,JmUHCn6sH,856685353a,2020-10-03 18:14:00.000000000
JmUGO99ew,86b2ba1228,JmUHzoGtQ,6163a019ce,2020-10-03 18:14:00.000000000
JmUGO99ew,86b2ba1228,JmUHsyD9x,0805095f54,2020-10-03 18:15:00.000000000
JmUFU2PVg,8c9c586326,JmUHwrlK4,698d304ce5,2020-10-03 18:16:00.000000000
JmUFU2PVg,8c9c586326,JmUHIepvC,962be22ebe,2020-10-03 18:16:00.000000000
JmUHdhffu,bfbd422d9b,JmUIaFNGM,a9ec0a334f,2020-10-03 18:18:00.000000000
JmUGO99ew,86b2ba1228,JmUI5juZj,427fad4f96,2020-10-03 18:18:00.000000000
JmUHdhffu,bfbd422d9b,JmUId0Cf7,0805095f54,2020-10-03 18:19:00.000000000
JmUGO99ew,86b2ba1228,JmUI8zw70,ba8d1e5baf,2020-10-03 18:19:00.000000000
JmUHdhffu,bfbd422d9b,JmUI6ayvK,87efc44014,2020-10-03 18:22:00.000000000
JmUHdhffu,bfbd422d9b,JmUI4qfcY,cd16f61725,2020-10-03 18:22:00.000000000
JmUHdhffu,bfbd422d9b,JmUI3uPGq,e5638d26f3,2020-10-03 18:23:00.000000000
JmUHdhffu,bfbd422d9b,JmUHXjFLH,6f21d6e6dc,2020-10-03 18:24:00.000000000
JmUHdhffu,bfbd422d9b,JmUI3gwnF,a250dcc6d8,2020-10-03 18:25:00.000000000
JmUHdhffu,bfbd422d9b,JmUI82uye,5a9254306d,2020-10-03 18:25:00.000000000
JmUHdhffu,bfbd422d9b,JmUI3iIqV,f20f5bb98a,2020-10-03 18:26:00.000000000
JmUHdhffu,bfbd422d9b,JmUI3x1w5,18216b888e,2020-10-03 18:26:00.000000000
