origin_id,origin_uid,id,uid,created_at
,84b1cd8392,JxD5tiZ20,84b1cd8392,2020-10-03 18:00:00.000000000
JxD5tiZ20,84b1cd8392,JxD9Bf0aa,f09cb8f6c9,2020-10-03 18:04:00.000000000
,63af055457,JxDzZ6QoN,63af055457,2020-10-03 19:04:00.000000000
,073201c6ba,JxDxpbN6N,073201c6ba,2020-10-03 19:09:26.666666667
JxDzZ6QoN,63af055457,JxDMI1mas,cd73e253eb,2020-10-03 19:29:00.000000000
JxDxpbN6N,073201c6ba,JxDMXodAS,9d976cb452,2020-10-03 19:29:00.000000000
JxDzZ6QoN,63af055457,JxDYx8e1X,f00c6d7ee3,2020-10-03 19:59:00.000000000
JxDxpbN6N,073201c6ba,JxE01jLto,69c3b47ca5,2020-10-03 20:03:00.000000000
JxDxpbN6N,073201c6ba,JxE4oxaL4,72bf5a9ee2,2020-10-03 20:12:00.000000000
JxDxpbN6N,073201c6ba,JxE7LczNJ,8af7c32ed6,2020-10-03 20:17:00.000000000
JxD5tiZ20,84b1cd8392,JxE8ErTxO,8af7c32ed6,2020-10-03 20:20:00.000000000
JxDxpbN6N,073201c6ba,JxE9EsRgy,80dfc7fe3b,2020-10-03 20:24:00.000000000
JxDzZ6QoN,63af055457,JxEejcUii,394ed169d2,2020-10-03 20:27:00.000000000
JxDzZ6QoN,63af055457,JxEl9uer4,2e0766b09f,2020-10-03 20:33:00.000000000
JxDzZ6QoN,63af055457,JxEsAuruL,e0084c473c,2020-10-03 20:46:00.000000000
,6a67fe199f,JxEaJkcqd,6a67fe199f,2020-10-03 20:54:33.333333334
JxEaJkcqd,6a67fe199f,JxEIqnvy2,17b711b68a,2020-10-03 21:07:00.000000000
JxDxpbN6N,073201c6ba,JxEQUm4Ia,6b415122c0,2020-10-03 21:12:00.000000000
JxDxpbN6N,073201c6ba,JxERRu90n,ec7dad0c45,2020-10-03 21:14:00.000000000
JxDxpbN6N,073201c6ba,JxEYwzXgs,87260c0e93,2020-10-03 21:20:00.000000000
JxEaJkcqd,6a67fe199f,JxF6b9Lqu,2f5bd08bc4,2020-10-03 21:23:00.000000000
JxEaJkcqd,6a67fe199f,JxF9EhUa7,1e21f6b33e,2020-10-03 21:26:00.000000000
JxEaJkcqd,6a67fe199f,JxFlNtew2,73af0de0fe,2020-10-03 21:32:00.000000000
,f437966008,JxFgznjwj,f437966008,2020-10-03 21:32:00.000000000
JxDxpbN6N,073201c6ba,JxFmKkPaT,13f9fbcdc5,2020-10-03 21:33:00.000000000
JxEaJkcqd,6a67fe199f,JxFlT7nmg,8d523361af,2020-10-03 21:33:00.000000000
JxDxpbN6N,073201c6ba,JxFrZnhNN,c29c83e99b,2020-10-03 21:34:00.000000000
JxEaJkcqd,6a67fe199f,JxFIKeQ0L,a2b7b75585,2020-10-03 21:38:00.000000000
JxD5tiZ20,84b1cd8392,JxFS6zqsS,330df425f6,2020-10-03 21:40:00.000000000
JxEaJkcqd,6a67fe199f,JxFPLzL6Q,71c69bd6d0,2020-10-03 21:40:00.000000000
JxEaJkcqd,6a67fe199f,JxFS4dMPw,f990611401,2020-10-03 21:41:00.000000000
,c0a0755175,JxEArceCn,c0a0755175,2020-10-03 21:57:00.000000000
JxEaJkcqd,6a67fe199f,JxG6nnev0,399575500f,2020-10-03 22:00:00.000000000
JxEArceCn,c0a0755175,JxG8Bz2av,d58b9b8905,2020-10-03 22:04:00.000000000
JxEaJkcqd,6a67fe199f,JxGlUmFSv,b34d6c7c3a,2020-10-03 22:08:00.000000000
JxEArceCn,c0a0755175,JxGLVbAB3,2f77cae309,2020-10-03 22:13:00.000000000
JxFgznjwj,f437966008,JxH0WdXJb,04e59afe2f,2020-10-03 22:15:00.000000000
JxEArceCn,c0a0755175,JxH7Xe3KM,9a93716105,2020-10-03 22:20:00.000000000
JxFgznjwj,f437966008,JxHh53Y6y,2362f250bc,2020-10-03 22:24:00.000000000
JxDxpbN6N,073201c6ba,JxHBqv5r9,cf8e20e790,2020-10-03 22:25:00.000000000
JxFgznjwj,f437966008,JxHImdh3N,f3a5681494,2020-10-03 22:28:00.000000000
JxDxpbN6N,073201c6ba,JxHVL3eZ5,8bc954e0ab,2020-10-03 22:30:00.000000000
JxD5tiZ20,84b1cd8392,JxI9q1zWi,cad147ab26,2020-10-03 22:31:00.000000000
JxD5tiZ20,84b1cd8392,JxIaskWQd,35f367435f,2020-10-03 22:31:00.000000000
JxEArceCn,c0a0755175,JxIwv08HS,d1565aa4bf,2020-10-03 22:33:00.000000000
JxFgznjwj,f437966008,JxJlUdYIr,e8b7ba1523,2020-10-03 22:35:00.000000000
