origin_id,origin_uid,id,uid,created_at
,81be43532c,JtfxJlCXj,81be43532c,2020-09-27 06:00:40.000000000
JtfxJlCXj,81be43532c,JtfOx2KPH,bea9d8e7e7,2020-09-27 21:43:00.000000000
JtfxJlCXj,81be43532c,JtfOvhow9,bea9d8e7e7,2020-10-03 15:29:00.000000000
JtfxJlCXj,81be43532c,JtfOzl7V3,bea9d8e7e7,2020-10-03 15:34:00.000000000
JtfxJlCXj,81be43532c,JtfOy9bXB,bea9d8e7e7,2020-10-03 15:56:41.000000000
JtfxJlCXj,81be43532c,JtfQ1dcGk,82b1d14da1,2020-10-03 17:14:00.000000000
,81be43532c,JtfwBlXBJ,81be43532c,2020-10-03 17:21:06.666666667
JtfxJlCXj,81be43532c,JtfQju5tT,82b1d14da1,2020-10-03 17:30:00.000000000
JtfwBlXBJ,81be43532c,JtfQv69qz,bea9d8e7e7,2020-10-03 17:31:00.000000000
JtfwBlXBJ,81be43532c,JtfQH8BlT,bea9d8e7e7,2020-10-03 17:34:00.000000000
JtfwBlXBJ,81be43532c,JtfQAlRNT,bea9d8e7e7,2020-10-03 17:36:00.000000000
JtfwBlXBJ,81be43532c,JtfQz9TIm,bea9d8e7e7,2020-10-03 17:38:00.000000000
JtfxJlCXj,81be43532c,JtfWp7uUZ,8ecf80ae6c,2020-10-03 17:40:00.000000000
,4b188351b7,Jth84wyka,4b188351b7,2020-10-03 17:58:00.000000000
,81be43532c,JthaazHK2,81be43532c,2020-10-03 17:58:00.000000000
JthaazHK2,81be43532c,JthaXCNR6,fa52a86b7d,2020-10-03 17:59:00.000000000
JthaazHK2,81be43532c,JthbBxpOT,9a1ba74b7f,2020-10-03 17:59:00.000000000
JthaazHK2,81be43532c,JthbEeebF,b26aa9651c,2020-10-03 18:00:00.000000000
JthaazHK2,81be43532c,JthcQ3om1,2234657c3b,2020-10-03 18:04:00.000000000
JthaazHK2,81be43532c,JthcL1Y50,2234657c3b,2020-10-03 18:04:00.000000000
JthaazHK2,81be43532c,JthcS8yoi,a30a08e7ad,2020-10-03 18:04:00.000000000
JthaazHK2,81be43532c,JthcG2NLf,a30a08e7ad,2020-10-03 18:05:00.000000000
JthaazHK2,81be43532c,Jthd1fV3x,2c29ac79b3,2020-10-03 18:05:00.000000000
JthaazHK2,81be43532c,Jthd5rl9H,dfba6dccbe,2020-10-03 18:07:00.000000000
JthaazHK2,81be43532c,JtheqbJrQ,a13597d334,2020-10-03 18:10:00.000000000
JthaazHK2,81be43532c,JtheBDDrD,28f167f7a5,2020-10-03 18:11:00.000000000
JthaazHK2,81be43532c,JtheEnKQi,93c5b1744f,2020-10-03 18:11:00.000000000
JthaazHK2,81be43532c,JtheRlENX,93c5b1744f,2020-10-03 18:12:00.000000000
JthaazHK2,81be43532c,JthgCmJmw,6b08346d0c,2020-10-03 18:13:00.000000000
JthaazHK2,81be43532c,JthgS1t9i,1aadb8ba92,2020-10-03 18:14:00.000000000
JthaazHK2,81be43532c,JthhB0LD8,85bcc7191a,2020-10-03 18:15:00.000000000
JthaazHK2,81be43532c,JthiwCRms,c9c52cbed2,2020-10-03 18:17:00.000000000
JthaazHK2,81be43532c,JthjaqSJq,810fc2cb50,2020-10-03 18:18:00.000000000
JthaazHK2,81be43532c,JthiKeCLB,abc3992392,2020-10-03 18:18:00.000000000
JthaazHK2,81be43532c,JthkGcOBh,65561c74bb,2020-10-03 18:19:00.000000000
JthaazHK2,81be43532c,JthmjwMaD,ed3f0abc2f,2020-10-03 18:22:00.000000000
JthaazHK2,81be43532c,JthmLjqET,2e3aa62882,2020-10-03 18:24:00.000000000
JthaazHK2,81be43532c,JthnKcRXc,1047c5bf81,2020-10-03 18:25:00.000000000
JthaazHK2,81be43532c,JthnStd1e,8d2ca7db07,2020-10-03 18:25:00.000000000
,2166a154e5,JthokbtL6,2166a154e5,2020-10-03 18:26:00.000000000
JthaazHK2,81be43532c,Jthp4jpKC,5a9a0d7a4d,2020-10-03 18:28:00.000000000
JthaazHK2,81be43532c,JthpKi8jw,f9a355ef9f,2020-10-03 18:28:00.000000000
JthaazHK2,81be43532c,JthpL6ZY1,59c9e3e225,2020-10-03 18:28:00.000000000
JthaazHK2,81be43532c,JthpEj6dR,9e3c16d58f,2020-10-03 18:29:00.000000000
JthaazHK2,81be43532c,Jthqkme3r,8e9b327f74,2020-10-03 18:29:00.000000000
JthaazHK2,81be43532c,Jthrbu837,de009c1b32,2020-10-03 18:30:00.000000000
JthaazHK2,81be43532c,JthqVgftz,e17d4d4698,2020-10-03 18:31:00.000000000
JthaazHK2,81be43532c,JthuPv0On,a86efc52b3,2020-10-03 18:35:00.000000000
JthaazHK2,81be43532c,JthuFtmfN,a86efc52b3,2020-10-03 18:35:00.000000000
JthaazHK2,81be43532c,JthuSf6Je,a86efc52b3,2020-10-03 18:36:00.000000000
JthokbtL6,2166a154e5,Jthv95M0s,36bd7f4aca,2020-10-03 18:36:00.000000000
JthokbtL6,2166a154e5,Jthv0bCtn,7d1c678534,2020-10-03 18:36:00.000000000
JthokbtL6,2166a154e5,JthvRkGrD,2e3aa62882,2020-10-03 18:40:00.000000000
JthokbtL6,2166a154e5,Jthwa3i7Y,1fb35f9a8a,2020-10-03 18:41:00.000000000
JthokbtL6,2166a154e5,JthwepKlO,1fb35f9a8a,2020-10-03 18:41:00.000000000
JthokbtL6,2166a154e5,JthwjoVJj,e88358000b,2020-10-03 18:42:00.000000000
,a79fd844cc,JthwvfiEv,a79fd844cc,2020-10-03 18:42:00.000000000
JthaazHK2,81be43532c,JthxF6WVZ,e88358000b,2020-10-03 18:43:00.000000000
JthwvfiEv,a79fd844cc,JthxBz5G2,0173c5dc49,2020-10-03 18:44:00.000000000
JthaazHK2,81be43532c,JthxAm3s4,e88358000b,2020-10-03 18:44:00.000000000
JthaazHK2,81be43532c,JthxHcac5,e88358000b,2020-10-03 18:44:00.000000000
JthokbtL6,2166a154e5,JthyHuJ7L,4e13e66c62,2020-10-03 18:45:00.000000000
JthwvfiEv,a79fd844cc,Jthyd5R8y,ba8cf80e19,2020-10-03 18:45:00.000000000
JthaazHK2,81be43532c,JthyA8IWy,cacad7b8e5,2020-10-03 18:45:00.000000000
JthokbtL6,2166a154e5,Jthz08Xbj,add403d589,2020-10-03 18:45:00.000000000
JthaazHK2,81be43532c,JthApwiv0,4e13e66c62,2020-10-03 18:46:00.000000000
Jth84wyka,4b188351b7,JthDA86Cj,1d167d5db2,2020-10-03 18:47:00.000000000
Jth84wyka,4b188351b7,JthDD28PP,2888ac1d55,2020-10-03 18:47:00.000000000
JthwvfiEv,a79fd844cc,JthBJnqWJ,14bdb808b1,2020-10-03 18:47:00.000000000
Jth84wyka,4b188351b7,JthDyjsG5,eb248309ce,2020-10-03 18:50:00.000000000
Jth84wyka,4b188351b7,JthDxqbUi,138c08e576,2020-10-03 18:50:00.000000000
Jth84wyka,4b188351b7,JthDI4DbP,4758f6151e,2020-10-03 18:50:00.000000000
Jth84wyka,4b188351b7,JthDx5kn1,a75a00454d,2020-10-03 18:50:00.000000000
Jth84wyka,4b188351b7,JthDtBROe,32d82ce6ea,2020-10-03 18:50:00.000000000
JthokbtL6,2166a154e5,JthHtd9VL,de009c1b32,2020-10-03 18:51:00.000000000
JthokbtL6,2166a154e5,JthJaD5qE,e786f185aa,2020-10-03 18:51:00.000000000
JthwvfiEv,a79fd844cc,JthElARuZ,8d2ca7db07,2020-10-03 18:51:00.000000000
Jth84wyka,4b188351b7,JthF5tnXX,85fc8dd052,2020-10-03 18:51:00.000000000
Jth84wyka,4b188351b7,JthFbDoL9,998b0a791d,2020-10-03 18:51:00.000000000
Jth84wyka,4b188351b7,JthELDdJE,1d167d5db2,2020-10-03 18:51:00.000000000
Jth84wyka,4b188351b7,JthENrVf9,96802d70a2,2020-10-03 18:51:00.000000000
JthokbtL6,2166a154e5,JthEv5vBa,8d2ca7db07,2020-10-03 18:51:00.000000000
JthaazHK2,81be43532c,JthMFyNdx,8e107258ad,2020-10-03 18:52:00.000000000
JthwvfiEv,a79fd844cc,JthJyiIBR,e786f185aa,2020-10-03 18:52:00.000000000
JthokbtL6,2166a154e5,JthJXu5G9,6e8c859a2f,2020-10-03 18:52:00.000000000
JthaazHK2,81be43532c,JthMdf7IF,0f2dc8a52b,2020-10-03 18:52:00.000000000
JthokbtL6,2166a154e5,JthNPqsHZ,0f2dc8a52b,2020-10-03 18:56:00.000000000
JthokbtL6,2166a154e5,JthR6CK8l,7fd72d8632,2020-10-03 18:57:00.000000000
JthwvfiEv,a79fd844cc,JthTf2YH3,0f2dc8a52b,2020-10-03 18:58:00.000000000
,888fd05209,JthWO90i1,888fd05209,2020-10-03 18:58:20.000000000
JthaazHK2,81be43532c,JthYA04Gq,2e87394728,2020-10-03 18:59:00.000000000
JthaazHK2,81be43532c,Jti7xcBzc,9d22378bb8,2020-10-03 18:59:00.000000000
JthWO90i1,888fd05209,JtiaS3kuo,5d20b276d3,2020-10-03 19:00:00.000000000
JtfwBlXBJ,81be43532c,JtiyAb0MG,4f14f56537,2020-10-03 19:00:00.000000000
JthaazHK2,81be43532c,JtizhyS57,dd8d9f1bcd,2020-10-03 19:01:00.000000000
JthWO90i1,888fd05209,JtiZ4tlbr,e4108ba604,2020-10-03 19:03:00.000000000
JtfxJlCXj,81be43532c,JtjsBpU7q,bea9d8e7e7,2020-10-03 19:03:00.000000000
JtfxJlCXj,81be43532c,JtjszA8Lm,bea9d8e7e7,2020-10-03 19:03:00.000000000
JtfxJlCXj,81be43532c,JtjsO2UIr,bea9d8e7e7,2020-10-03 19:04:00.000000000
JtfxJlCXj,81be43532c,JtjsCxrZC,bea9d8e7e7,2020-10-03 19:04:00.000000000
JtfxJlCXj,81be43532c,JtjsE2l1i,bea9d8e7e7,2020-10-03 19:04:00.000000000
JtfxJlCXj,81be43532c,JtjsLb6I0,bea9d8e7e7,2020-10-03 19:04:00.000000000
JtfxJlCXj,81be43532c,JtjsMjKcp,bea9d8e7e7,2020-10-03 19:04:00.000000000
JtfxJlCXj,81be43532c,JtjsFuLKP,bea9d8e7e7,2020-10-03 19:05:00.000000000
JtfxJlCXj,81be43532c,JtjsGDpEg,bea9d8e7e7,2020-10-03 19:05:00.000000000
JthWO90i1,888fd05209,Jtju1az2W,0dbcde2f72,2020-10-03 19:06:00.000000000
JthWO90i1,888fd05209,JtjtYqtUV,0dbcde2f72,2020-10-03 19:06:00.000000000
JthWO90i1,888fd05209,JtjtXfEFX,0dbcde2f72,2020-10-03 19:06:00.000000000
JtfxJlCXj,81be43532c,JtjsJoD8y,bea9d8e7e7,2020-10-03 19:06:00.000000000
JtfxJlCXj,81be43532c,JtjsI8jqI,bea9d8e7e7,2020-10-03 19:06:00.000000000
JthWO90i1,888fd05209,Jtju24UwU,de3b1c2241,2020-10-03 19:07:00.000000000
JthWO90i1,888fd05209,Jtju21Dxe,0dbcde2f72,2020-10-03 19:07:00.000000000
JthWO90i1,888fd05209,Jtju00Q5L,0dbcde2f72,2020-10-03 19:09:00.000000000
JthWO90i1,888fd05209,JtsQqaMRK,25b5164b2f,2020-10-03 19:13:00.000000000
JthWO90i1,888fd05209,JtsRM8dux,435bcba449,2020-10-03 19:15:00.000000000
JthWO90i1,888fd05209,JtsRQeayp,435bcba449,2020-10-03 19:15:00.000000000
JthWO90i1,888fd05209,JtsRGqKXY,435bcba449,2020-10-03 19:15:00.000000000
JthWO90i1,888fd05209,JtsRYsgeK,435bcba449,2020-10-03 19:15:00.000000000
JthWO90i1,888fd05209,JtsRUiZXt,435bcba449,2020-10-03 19:16:00.000000000
JthWO90i1,888fd05209,JtsTAlZIH,9cb03d1ddb,2020-10-03 19:17:00.000000000
JthWO90i1,888fd05209,JtsTEwme8,9cb03d1ddb,2020-10-03 19:18:00.000000000
JthWO90i1,888fd05209,JtsTBuCnm,9cb03d1ddb,2020-10-03 19:19:00.000000000
JthWO90i1,888fd05209,JtsTDATTf,9cb03d1ddb,2020-10-03 19:19:00.000000000
JthWO90i1,888fd05209,JtsTFEYqJ,9cb03d1ddb,2020-10-03 19:19:00.000000000
JthWO90i1,888fd05209,JtALbfeKT,a1389a10f0,2020-10-03 19:22:00.000000000
JthWO90i1,888fd05209,JtJwzu6jx,cd5928f477,2020-10-03 19:23:00.000000000
JthWO90i1,888fd05209,JtLkV9odh,a8e88da240,2020-10-03 19:23:00.000000000
JthWO90i1,888fd05209,JtLlMiqzw,db08154fbc,2020-10-03 19:24:00.000000000
JthWO90i1,888fd05209,JtLmo6Pbi,db08154fbc,2020-10-03 19:24:00.000000000
JthWO90i1,888fd05209,JtLmdaLl6,db08154fbc,2020-10-03 19:25:00.000000000
JthWO90i1,888fd05209,JtLmZ32pK,db08154fbc,2020-10-03 19:27:00.000000000
