origin_id,origin_uid,id,uid,created_at
,c4987974d3,Jx57ZtNbR,c4987974d3,2020-10-03 17:28:40
Jx57ZtNbR,c4987974d3,Jx6r5CBFU,c4987974d3,2020-10-03 17:30:00
Jx57ZtNbR,c4987974d3,Jx6sAkhwo,682521b804,2020-10-03 17:31:00
Jx57ZtNbR,c4987974d3,Jx6uAewXI,17120a4d01,2020-10-03 17:34:00
Jx57ZtNbR,c4987974d3,Jx6CNja7r,6486d7f051,2020-10-03 17:36:00
Jx57ZtNbR,c4987974d3,Jx6USpZMB,9c2035dcb0,2020-10-03 17:38:00
Jx57ZtNbR,c4987974d3,Jx8bGE9Mv,ce5d2bafcb,2020-10-03 17:40:00
,d53ed086b3,JwNmxgiIE,d53ed086b3,2020-10-03 17:41:40
Jx57ZtNbR,c4987974d3,Jxan5C8gP,afac422f74,2020-10-03 17:42:00
JwNmxgiIE,d53ed086b3,JxeR7qB1q,5b17444fd4,2020-10-03 17:44:00
,d53ed086b3,Jx5nUsB3N,d53ed086b3,2020-10-03 17:46:00
Jx5nUsB3N,d53ed086b3,Jxfp34lGn,bec41456e6,2020-10-03 17:47:00
Jx5nUsB3N,d53ed086b3,JxfIXxCEE,811b90e716,2020-10-03 17:48:00
Jx5nUsB3N,d53ed086b3,JxgcdEFPX,a2968776ab,2020-10-03 17:49:00
Jx5nUsB3N,d53ed086b3,JxgGL6c5a,ad394c3023,2020-10-03 17:56:00
JwNmxgiIE,d53ed086b3,JxICdzhPd,15c379b1d3,2020-10-03 17:58:00
JwNmxgiIE,d53ed086b3,JxIyHuVbl,5b17444fd4,2020-10-03 17:58:00
,c4987974d3,JxY4TdyVw,c4987974d3,2020-10-03 17:59:00
JxY4TdyVw,c4987974d3,Jy0AsmQI0,c4987974d3,2020-10-03 18:00:00
JxY4TdyVw,c4987974d3,Jy0KJetoz,6a632558cb,2020-10-03 18:01:00
JxY4TdyVw,c4987974d3,Jy0N9l3g5,39ebd8a11b,2020-10-03 18:04:00
JxY4TdyVw,c4987974d3,Jy5h94gy0,30c7e2a95b,2020-10-03 18:04:00
JxY4TdyVw,c4987974d3,Jy1dJz6Yy,efefcfcc80,2020-10-03 18:04:00
JwNmxgiIE,d53ed086b3,JyaYjhpl9,5b17444fd4,2020-10-03 18:05:00
JxY4TdyVw,c4987974d3,JyaT1EFxS,c4987974d3,2020-10-03 18:05:00
