origin_id,origin_uid,id,uid,created_at
,a6a6162f80,Jk0SFjpDv,a6a6162f80,2020-10-03 17:53:46.666666667
,ccff33f19b,JjXI2t16t,ccff33f19b,2020-10-03 17:55:33.333333334
,80b242606a,JjXrnnkWc,80b242606a,2020-10-03 17:56:00.000000000
,646dbbf37a,JjYSMeRKT,646dbbf37a,2020-10-03 17:58:06.666666667
,80b242606a,JjYbc1NVM,80b242606a,2020-10-03 17:58:53.333333334
JjXI2t16t,ccff33f19b,Jkoq2rVAu,cf7406c767,2020-10-03 18:00:00.000000000
JjXI2t16t,ccff33f19b,JkoT12v5U,08c53a84a1,2020-10-03 18:01:00.000000000
JjYbc1NVM,80b242606a,JkpcH8Mim,77dfdd841c,2020-10-03 18:04:00.000000000
JjYSMeRKT,646dbbf37a,JkpEDjaN5,02cac59c0d,2020-10-03 18:04:00.000000000
Jk0SFjpDv,a6a6162f80,Jkpoql2AC,1e96f28c7e,2020-10-03 18:04:00.000000000
JjXI2t16t,ccff33f19b,Jkq12noiy,dec37a376b,2020-10-03 18:05:00.000000000
JjXI2t16t,ccff33f19b,Jkq6k4t4f,41f33c9a31,2020-10-03 18:06:00.000000000
JjXrnnkWc,80b242606a,Jkqa36Jtq,d3897f985f,2020-10-03 18:08:00.000000000
JjXrnnkWc,80b242606a,Jkq8Q8XFM,d3897f985f,2020-10-03 18:08:00.000000000
JjYbc1NVM,80b242606a,JkqjEB2U5,a55f0b02c7,2020-10-03 18:10:00.000000000
Jk0SFjpDv,a6a6162f80,JkqlckpFJ,0bd9a210fe,2020-10-03 18:11:00.000000000
,9aefb1ebc2,JjY9vojz9,9aefb1ebc2,2020-10-03 18:11:00.000000000
JjXI2t16t,ccff33f19b,Jkqlj3Tam,0bd9a210fe,2020-10-03 18:13:00.000000000
JjY9vojz9,9aefb1ebc2,JkqvHz3cm,ac3b3aa03e,2020-10-03 18:15:00.000000000
JjYbc1NVM,80b242606a,JkqzHubq3,f0cb902484,2020-10-03 18:17:00.000000000
JjXI2t16t,ccff33f19b,JkqQFqcNj,7c060cf679,2020-10-03 18:22:00.000000000
JjXI2t16t,ccff33f19b,JkqSom5eU,81460932dd,2020-10-03 18:22:00.000000000
JjXI2t16t,ccff33f19b,JkrnanPrX,f87bad4ca8,2020-10-03 18:26:00.000000000
JjYbc1NVM,80b242606a,Jkrvx0r0S,b22e83314a,2020-10-03 18:28:00.000000000
JjXI2t16t,ccff33f19b,JkrKVrGOo,0a1d41e0bd,2020-10-03 18:29:00.000000000
JjYSMeRKT,646dbbf37a,JkrS9lhBb,a434c1f7d5,2020-10-03 18:29:00.000000000
JjYbc1NVM,80b242606a,JksjMjkk6,ee697f922e,2020-10-03 18:34:00.000000000
JjYbc1NVM,80b242606a,Jksk3b4FD,ee697f922e,2020-10-03 18:34:00.000000000
JjXI2t16t,ccff33f19b,Jksyat70X,dae6b8ce95,2020-10-03 18:35:00.000000000
JjYbc1NVM,80b242606a,JksAR6wuY,6eb657a36e,2020-10-03 18:36:00.000000000
JjXI2t16t,ccff33f19b,JkteQwAQ2,a6debad204,2020-10-03 18:40:00.000000000
JjYbc1NVM,80b242606a,JkteRbsE2,71fcbcb570,2020-10-03 18:40:00.000000000
JjYbc1NVM,80b242606a,JktienT4d,a19c485ea8,2020-10-03 18:41:00.000000000
JjXI2t16t,ccff33f19b,JktotaP0q,d0b7ca2c51,2020-10-03 18:41:00.000000000
JjY9vojz9,9aefb1ebc2,Jkts7cN4s,bfcf2fce9a,2020-10-03 18:42:00.000000000
JjXI2t16t,ccff33f19b,Jktxv9p39,c7e2c08d29,2020-10-03 18:42:00.000000000
JjY9vojz9,9aefb1ebc2,JktYGz50S,150508a343,2020-10-03 18:44:00.000000000
JjXrnnkWc,80b242606a,JktWRbz2a,e9d9bb9424,2020-10-03 18:44:00.000000000
JjXrnnkWc,80b242606a,JktYbyBdx,e9d9bb9424,2020-10-03 18:44:00.000000000
JjXI2t16t,ccff33f19b,Jku44vFVU,ed56950964,2020-10-03 18:45:00.000000000
JjY9vojz9,9aefb1ebc2,Jkuv60wbi,c77a1b5ed7,2020-10-03 18:45:00.000000000
