origin_id,origin_uid,id,uid,created_at
,582f053d6a,JveAZjjos,582f053d6a,2020-09-27 21:43:00.000000000
JveAZjjos,582f053d6a,JvfSHsNHW,009ea4f02b,2020-10-03 18:00:00.000000000
JveAZjjos,582f053d6a,Jvg39pg71,b867dc4d6f,2020-10-03 18:17:00.000000000
JveAZjjos,582f053d6a,JvgdRajoM,b16c7e6f9f,2020-10-03 18:28:00.000000000
JveAZjjos,582f053d6a,JvgvTuR5p,f6bc76be5c,2020-10-03 18:45:00.000000000
JveAZjjos,582f053d6a,JvgwOxMd3,b8ddcf26f4,2020-10-03 18:45:00.000000000
JveAZjjos,582f053d6a,JvgxkruAD,6a0da51a3b,2020-10-03 18:46:00.000000000
JveAZjjos,582f053d6a,Jvgxyo814,bcbb2d72b8,2020-10-03 18:46:00.000000000
JveAZjjos,582f053d6a,JvgzRFHMh,820a99bf10,2020-10-03 18:50:00.000000000
JveAZjjos,582f053d6a,Jvh1WodWK,5d3ad8f91b,2020-10-03 18:52:00.000000000
JveAZjjos,582f053d6a,Jvhucs3IQ,35f367435f,2020-10-03 18:57:00.000000000
,ca12cf4339,JvguQeXO6,ca12cf4339,2020-10-03 19:00:46.666666667
,ca12cf4339,JvgMq2EKJ,ca12cf4339,2020-10-03 19:02:00.000000000
JvguQeXO6,ca12cf4339,JvlzdszgQ,bfc235d5bf,2020-10-03 19:05:00.000000000
JvgMq2EKJ,ca12cf4339,JvlDCfeYu,c1d3f5767f,2020-10-03 19:06:00.000000000
JvgMq2EKJ,ca12cf4339,JvlAWqGfF,f67e3d82f5,2020-10-03 19:06:00.000000000
JvguQeXO6,ca12cf4339,JvlDtjYGK,f67e3d82f5,2020-10-03 19:06:00.000000000
JvguQeXO6,ca12cf4339,JvlDW3bpU,c1d3f5767f,2020-10-03 19:07:00.000000000
JvgMq2EKJ,ca12cf4339,JvlVxwuIk,9835d8da3a,2020-10-03 19:12:00.000000000
JveAZjjos,582f053d6a,JvlZzho5y,b8294b970f,2020-10-03 19:13:00.000000000
JvguQeXO6,ca12cf4339,JvmdLxxne,2ea1277ddf,2020-10-03 19:15:00.000000000
JveAZjjos,582f053d6a,JvopHyY5F,82079a0fd4,2020-10-03 19:27:00.000000000
JveAZjjos,582f053d6a,JvoEIEDv3,32807e0dc6,2020-10-03 19:27:00.000000000
JveAZjjos,582f053d6a,JvqvbrmFF,5d3ad8f91b,2020-10-03 19:34:00.000000000
JvgMq2EKJ,ca12cf4339,JwIWOgCCZ,499d27dc7a,2020-10-03 19:42:00.000000000
JvguQeXO6,ca12cf4339,JwIXwxGOy,499d27dc7a,2020-10-03 19:43:00.000000000
