origin_id,origin_uid,id,uid,created_at
,8127fb4569,JkVxFjTZD,8127fb4569,2020-10-03 17:31:00.000000000
JkVxFjTZD,8127fb4569,JkVznoLD4,96ac994faf,2020-10-03 17:34:00.000000000
JkVxFjTZD,8127fb4569,JkVArwNKR,b971256c7a,2020-10-03 17:36:00.000000000
JkVxFjTZD,8127fb4569,JkVAJiTKu,11bed17ddb,2020-10-03 17:38:00.000000000
JkVxFjTZD,8127fb4569,JkVBhxcmF,26738e0e03,2020-10-03 17:40:00.000000000
JkVxFjTZD,8127fb4569,JkVCB7Pg9,3fdb7d15f6,2020-10-03 17:42:00.000000000
JkVxFjTZD,8127fb4569,JkVDshZf3,aa6e7e9849,2020-10-03 17:42:00.000000000
JkVxFjTZD,8127fb4569,JkVFRt5uA,591de506fc,2020-10-03 17:44:00.000000000
JkVxFjTZD,8127fb4569,JkVFoimxq,a6bea718b6,2020-10-03 17:44:00.000000000
JkVxFjTZD,8127fb4569,JkVNdvgvr,37ea8b8eee,2020-10-03 17:46:00.000000000
JkVxFjTZD,8127fb4569,JkVSLEAaj,c95efa8362,2020-10-03 17:47:00.000000000
JkVxFjTZD,8127fb4569,JkVWQB2cG,9dd37d46c2,2020-10-03 17:48:00.000000000
JkVxFjTZD,8127fb4569,JkVZM7E3e,365b9c94eb,2020-10-03 17:49:00.000000000
JkVxFjTZD,8127fb4569,JkW307aV9,ae9fa822ae,2020-10-03 17:56:00.000000000
JkVxFjTZD,8127fb4569,JkW8ZekVo,fb46493c21,2020-10-03 17:56:00.000000000
JkVxFjTZD,8127fb4569,JkW9fhedF,1f7ff4ce40,2020-10-03 17:56:00.000000000
JkVxFjTZD,8127fb4569,JkX8zBfnj,f27bb1b2c7,2020-10-03 17:58:00.000000000
JkVxFjTZD,8127fb4569,JkWL7g0CX,cfae93f077,2020-10-03 17:58:00.000000000
JkVxFjTZD,8127fb4569,JkWc6f0Af,b88ff38b74,2020-10-03 17:58:00.000000000
JkVxFjTZD,8127fb4569,JkWq4CTtZ,cb6ec84787,2020-10-03 17:58:00.000000000
JkVxFjTZD,8127fb4569,JkZEKB5M3,9cf16680fb,2020-10-03 17:59:00.000000000
JkVxFjTZD,8127fb4569,Jl1kT9Bqv,5dd56cb2e2,2020-10-03 17:59:00.000000000
JkVxFjTZD,8127fb4569,Jl25C6y1R,4e3d4bc2b8,2020-10-03 17:59:00.000000000
JkVxFjTZD,8127fb4569,Jlblivg0B,5193552116,2020-10-03 18:00:00.000000000
,8127fb4569,JlOcW16Pn,8127fb4569,2020-10-03 18:04:00.000000000
JlOcW16Pn,8127fb4569,JlOfFl4r0,1e27b59d20,2020-10-03 18:04:00.000000000
JlOcW16Pn,8127fb4569,JlOgrdk5b,c9ffe83b50,2020-10-03 18:04:00.000000000
JlOcW16Pn,8127fb4569,JlOHuq05o,d212a934bd,2020-10-03 18:04:00.000000000
JlOcW16Pn,8127fb4569,JlQV6sfKi,c1e1c534f5,2020-10-03 18:05:00.000000000
,8127fb4569,JmpUV9qKB,8127fb4569,2020-10-03 18:06:00.000000000
JmpUV9qKB,8127fb4569,JmpWUD3pE,6ab3ccc19a,2020-10-03 18:07:00.000000000
JmpUV9qKB,8127fb4569,JmpZmxc3W,0787085a0e,2020-10-03 18:08:00.000000000
JmpUV9qKB,8127fb4569,JmqbDoyyJ,156a4d3da6,2020-10-03 18:08:00.000000000
,8127fb4569,JmqNIqJvI,8127fb4569,2020-10-03 18:08:20.000000000
JmpUV9qKB,8127fb4569,JmqI3EBF1,c5e5545f32,2020-10-03 18:09:00.000000000
JmqNIqJvI,8127fb4569,JmqO9gREY,dd30cab41b,2020-10-03 18:09:00.000000000
JmqNIqJvI,8127fb4569,JmqQnfuQE,b4f69fd03b,2020-10-03 18:10:00.000000000
JmqNIqJvI,8127fb4569,JmqQQvHdn,d94e7282a9,2020-10-03 18:11:00.000000000
JmqNIqJvI,8127fb4569,JmqQA2nvm,430302f167,2020-10-03 18:11:00.000000000
,8127fb4569,JmpeidgxN,8127fb4569,2020-10-03 18:11:46.666666667
JmqNIqJvI,8127fb4569,JmqSVEw6f,0c5d7b4f5e,2020-10-03 18:12:00.000000000
JmqNIqJvI,8127fb4569,JmqUsgndh,d768dfc422,2020-10-03 18:12:00.000000000
JmpeidgxN,8127fb4569,Jmri2kVgH,d87516cf16,2020-10-03 18:13:00.000000000
JmqNIqJvI,8127fb4569,JmqWDzfj3,c919eeda09,2020-10-03 18:13:00.000000000
JmqNIqJvI,8127fb4569,Jmrbi9h5t,c29664361c,2020-10-03 18:13:00.000000000
JmqNIqJvI,8127fb4569,JmrBy3uTF,bc5213687d,2020-10-03 18:14:00.000000000
JmqNIqJvI,8127fb4569,JmrzouDXV,133db71505,2020-10-03 18:14:00.000000000
JmqNIqJvI,8127fb4569,JmrUGqhAC,d7d2f4fa5a,2020-10-03 18:15:00.000000000
JmqNIqJvI,8127fb4569,JmrWewIw3,e6337fe13f,2020-10-03 18:15:00.000000000
JmqNIqJvI,8127fb4569,JmsYqtu5Z,9e6ff845bf,2020-10-03 18:16:00.000000000
JmpeidgxN,8127fb4569,Jms7mcsO7,e0e2b23c0d,2020-10-03 18:16:00.000000000
JmqNIqJvI,8127fb4569,JmwbbC7Yc,d4c336b37e,2020-10-03 18:18:00.000000000
JmpeidgxN,8127fb4569,Jmy42d2kY,4695f6d395,2020-10-03 18:18:00.000000000
JmpeidgxN,8127fb4569,JmtyDmUUe,c295100264,2020-10-03 18:18:00.000000000
JmpUV9qKB,8127fb4569,JmwCtDzpo,e819f1da7b,2020-10-03 18:18:00.000000000
JmqNIqJvI,8127fb4569,JmyJACLN4,d5254359e2,2020-10-03 18:19:00.000000000
JmpeidgxN,8127fb4569,Jmy4m5nTC,86987d744c,2020-10-03 18:19:00.000000000
JmqNIqJvI,8127fb4569,JmzhIosup,ab38718218,2020-10-03 18:22:00.000000000
JmqNIqJvI,8127fb4569,JmyNndYzj,7ddaee6434,2020-10-03 18:22:00.000000000
JmpeidgxN,8127fb4569,JmAKyoKLX,f26731636e,2020-10-03 18:23:00.000000000
