origin_id,origin_uid,id,uid,created_at
,270d35f2ec,JvJ5te9EU,270d35f2ec,2020-10-03 17:19:20.000000000
JvJ5te9EU,270d35f2ec,JvJw40z7g,2137a6bc7c,2020-10-03 17:30:00.000000000
JvJ5te9EU,270d35f2ec,JvJLIsxNL,0167fbbdc2,2020-10-03 17:58:00.000000000
JvJ5te9EU,270d35f2ec,JvJPPapBh,5bae95a321,2020-10-03 18:04:00.000000000
,2937a74064,JvJTYcSgw,2937a74064,2020-10-03 18:10:00.000000000
JvJ5te9EU,270d35f2ec,JvJXkhKcl,88d5f7db77,2020-10-03 18:13:00.000000000
JvJ5te9EU,270d35f2ec,JvJZH50Bc,ca8de77747,2020-10-03 18:15:00.000000000
JvJTYcSgw,2937a74064,JvK0AoHH0,5383845c9b,2020-10-03 18:16:00.000000000
JvJTYcSgw,2937a74064,JvK1PfxTH,e99b7ec26c,2020-10-03 18:16:00.000000000
JvJTYcSgw,2937a74064,JvK3keNnR,5e2f925e3c,2020-10-03 18:19:00.000000000
JvJTYcSgw,2937a74064,JvKtgDKjL,2a3d25f745,2020-10-03 18:40:00.000000000
JvJ5te9EU,270d35f2ec,JvNRsbQs7,f70c48a1ed,2020-10-03 19:00:00.000000000
JvJ5te9EU,270d35f2ec,JvO0KCCft,495995e393,2020-10-03 19:03:00.000000000
JvJ5te9EU,270d35f2ec,JvNXxu6dz,aa92dfdfce,2020-10-03 19:03:00.000000000
JvJ5te9EU,270d35f2ec,JvO91DiPx,c473226905,2020-10-03 19:04:00.000000000
JvJ5te9EU,270d35f2ec,JvPicfxyM,62a792de37,2020-10-03 19:06:00.000000000
JvJ5te9EU,270d35f2ec,JvP8E4zMv,7c335f2a07,2020-10-03 19:06:00.000000000
JvJ5te9EU,270d35f2ec,JvODA4DAy,7122bd6bbf,2020-10-03 19:06:00.000000000
JvJ5te9EU,270d35f2ec,JvPrRcbMC,001e30a25f,2020-10-03 19:07:00.000000000
JvJ5te9EU,270d35f2ec,JvQcSdVnn,841019a482,2020-10-03 19:09:00.000000000
JvJ5te9EU,270d35f2ec,JvPIn3XyW,4681027b15,2020-10-03 19:09:00.000000000
JvJ5te9EU,270d35f2ec,JvRELr3TW,afb2505213,2020-10-03 19:13:00.000000000
,7845391daa,JvRKvzu2k,7845391daa,2020-10-03 19:13:00.000000000
,270d35f2ec,JvREAfC7D,270d35f2ec,2020-10-03 19:13:33.333333334
JvREAfC7D,270d35f2ec,JvS3LisSK,31532d05df,2020-10-03 19:15:00.000000000
JvJ5te9EU,270d35f2ec,JvSwXggeu,da8a959663,2020-10-03 19:15:00.000000000
JvREAfC7D,270d35f2ec,JvSOemoOj,99a8bae95c,2020-10-03 19:17:00.000000000
JvRKvzu2k,7845391daa,JvSVsARqY,dc35426fc4,2020-10-03 19:18:00.000000000
JvRKvzu2k,7845391daa,JvT48pLRU,e58d8770f5,2020-10-03 19:19:00.000000000
JvJ5te9EU,270d35f2ec,JvT6shVFT,940ad68afe,2020-10-03 19:19:00.000000000
JvRKvzu2k,7845391daa,JvT1A57rU,f5e1ea3418,2020-10-03 19:19:00.000000000
JvRKvzu2k,7845391daa,JvTaJoAaN,fc2b34a66c,2020-10-03 19:22:00.000000000
JvJ5te9EU,270d35f2ec,JvTcJfvIQ,940ad68afe,2020-10-03 19:22:00.000000000
JvRKvzu2k,7845391daa,JvTlLbSZy,7668cf8f09,2020-10-03 19:23:00.000000000
JvRKvzu2k,7845391daa,JvTtOgZFd,0920daa188,2020-10-03 19:23:00.000000000
JvRKvzu2k,7845391daa,JvTz6tXPR,50ac8d3769,2020-10-03 19:23:00.000000000
JvRKvzu2k,7845391daa,JvTAwxn7H,d0795c6077,2020-10-03 19:23:00.000000000
JvRKvzu2k,7845391daa,JvTKqEMGk,1353071192,2020-10-03 19:24:00.000000000
JvREAfC7D,270d35f2ec,JvXi6afDC,a5b5aab5ef,2020-10-03 19:27:00.000000000
JvREAfC7D,270d35f2ec,JvXAhtl6C,4d6250f404,2020-10-03 19:28:00.000000000
JvRKvzu2k,7845391daa,JvZAW1Uhq,6d6b83c37b,2020-10-03 19:33:00.000000000
JvRKvzu2k,7845391daa,Jw0lyefXN,a721a013bb,2020-10-03 19:36:00.000000000
JvRKvzu2k,7845391daa,Jw2YO3EWL,0f7804f104,2020-10-03 19:39:00.000000000
JvRKvzu2k,7845391daa,Jw2OdrmCM,d9813930c7,2020-10-03 19:39:00.000000000
JvRKvzu2k,7845391daa,JwsB5E7F1,fca2f9cd80,2020-10-03 19:40:00.000000000
