origin_id,origin_uid,id,uid,created_at
,81dc0c0d2d,JuXPp8fXR,81dc0c0d2d,2020-09-27 06:09:00.000000000
JuXPp8fXR,81dc0c0d2d,JuY0le9FP,223571b06e,2020-09-27 21:43:00.000000000
JuXPp8fXR,81dc0c0d2d,JuY1F9I7x,cc05060e1a,2020-10-03 15:29:00.000000000
JuXPp8fXR,81dc0c0d2d,JuY2z1Kka,1577c1c88b,2020-10-03 15:56:41.000000000
JuXPp8fXR,81dc0c0d2d,JuY4zpGuT,1c92dda8bc,2020-10-03 17:31:00.000000000
JuXPp8fXR,81dc0c0d2d,JuY5X7pUc,4356b64833,2020-10-03 17:40:00.000000000
JuXPp8fXR,81dc0c0d2d,JuY9Vs6OA,b5661aaad7,2020-10-03 17:42:00.000000000
,b8b6797ea6,JuYdtBGn2,b8b6797ea6,2020-10-03 17:43:13.333333334
JuYdtBGn2,b8b6797ea6,JuYeLFfzN,2dc32a8af0,2020-10-03 17:46:00.000000000
JuYdtBGn2,b8b6797ea6,JuYeM2xNI,753b96b6c0,2020-10-03 17:47:00.000000000
JuYdtBGn2,b8b6797ea6,JuYeHx3Cv,b5bbdc7602,2020-10-03 17:48:00.000000000
JuXPp8fXR,81dc0c0d2d,JuYeWFDhK,b674f676b5,2020-10-03 17:49:00.000000000
JuYdtBGn2,b8b6797ea6,JuYfe6PEc,c4c95cd0d1,2020-10-03 17:56:00.000000000
JuYdtBGn2,b8b6797ea6,JuYfaitnf,e07a63a1d9,2020-10-03 17:56:00.000000000
JuYdtBGn2,b8b6797ea6,JuYfDvp0r,79ed39833e,2020-10-03 17:58:00.000000000
JuYdtBGn2,b8b6797ea6,JuYhI1JzQ,0272808a8f,2020-10-03 17:59:00.000000000
JuYdtBGn2,b8b6797ea6,JuYhTgsfo,040066592e,2020-10-03 18:00:00.000000000
JuYdtBGn2,b8b6797ea6,JuYj09Go4,353806345b,2020-10-03 18:01:00.000000000
,dcaea27428,JuY9ziu5Z,dcaea27428,2020-10-03 18:03:53.333333334
JuYdtBGn2,b8b6797ea6,JuYl8wmF6,6aca49d325,2020-10-03 18:04:00.000000000
JuY9ziu5Z,dcaea27428,JuYo9gpOP,fcdb282440,2020-10-03 18:05:00.000000000
JuY9ziu5Z,dcaea27428,JuYskDse5,ddb547685f,2020-10-03 18:10:00.000000000
JuYdtBGn2,b8b6797ea6,JuYtDCtsX,3616caee20,2020-10-03 18:11:00.000000000
JuY9ziu5Z,dcaea27428,JuYJXpxjs,dbe132f8dc,2020-10-03 18:12:00.000000000
JuY9ziu5Z,dcaea27428,JuZuffQwG,f94879dcff,2020-10-03 18:13:00.000000000
JuY9ziu5Z,dcaea27428,Jv26RthU4,8b3f35918d,2020-10-03 18:15:00.000000000
