origin_id,origin_uid,id,uid,created_at
,836b7ee4b1,JtCj9j7wd,836b7ee4b1,2020-09-27 21:43:00.000000000
,a91b394dd0,JuObJtoqW,a91b394dd0,2020-10-03 18:13:33.333333334
JuObJtoqW,a91b394dd0,JuQ0LaInO,38670b0826,2020-10-03 18:45:00.000000000
JuObJtoqW,a91b394dd0,JuQ4o1PFJ,70d00eb966,2020-10-03 18:51:00.000000000
JuObJtoqW,a91b394dd0,JuQaoBoPx,901cc57a3b,2020-10-03 19:06:00.000000000
JuObJtoqW,a91b394dd0,JuQqNlue9,3ea086064c,2020-10-03 19:33:00.000000000
JtCj9j7wd,836b7ee4b1,JuRQs461w,676ac81d99,2020-10-03 19:53:00.000000000
JuObJtoqW,a91b394dd0,JuS7k7H0q,1d7d3a5f92,2020-10-03 19:56:00.000000000
JtCj9j7wd,836b7ee4b1,JuSif4WJx,399b02ebd8,2020-10-03 19:58:00.000000000
JtCj9j7wd,836b7ee4b1,JuSpRx8sz,24ae23809c,2020-10-03 19:59:00.000000000
JuObJtoqW,a91b394dd0,JuSud2GnX,357c480dec,2020-10-03 20:01:00.000000000
JtCj9j7wd,836b7ee4b1,JuSuMdwlh,94fa0e7eb1,2020-10-03 20:03:00.000000000
,4390f87866,JuSHX1lAs,4390f87866,2020-10-03 20:14:00.000000000
JuSHX1lAs,4390f87866,JuSICl6Dh,32f5025d14,2020-10-03 20:15:00.000000000
JuSHX1lAs,4390f87866,JuSNNzeh3,5e59eb56b4,2020-10-03 20:24:00.000000000
JuSHX1lAs,4390f87866,JuSRi7RHv,5f979ebeb6,2020-10-03 20:27:00.000000000
JuSHX1lAs,4390f87866,JuSSCzgJr,e8edee1330,2020-10-03 20:30:00.000000000
JuObJtoqW,a91b394dd0,JuTaA1tGr,dd4c913750,2020-10-03 21:09:00.000000000
,ca3d7799bf,JuTQ7uHjC,ca3d7799bf,2020-10-03 22:38:00.000000000
JuTQ7uHjC,ca3d7799bf,JuTSYe9Gb,59ac4636a1,2020-10-03 22:46:00.000000000
JuTQ7uHjC,ca3d7799bf,JuTTViURb,59ac4636a1,2020-10-03 22:47:00.000000000
JuTQ7uHjC,ca3d7799bf,JuTUIBp9Y,f2654a0d4b,2020-10-03 22:50:00.000000000
JuTQ7uHjC,ca3d7799bf,JuTWRANcn,e4bc72e6b8,2020-10-03 22:54:00.000000000
JuTQ7uHjC,ca3d7799bf,JuTYec5dD,ca3d7799bf,2020-10-03 22:55:00.000000000
JuObJtoqW,a91b394dd0,JuU3RnQ2E,2ee585f1b8,2020-10-03 23:04:00.000000000
,d47a1f204c,JuTD311SZ,d47a1f204c,2020-10-03 23:26:06.666666667
JuObJtoqW,a91b394dd0,JuUoZ1gTQ,3065b6bf22,2020-10-03 23:28:00.000000000
JuTD311SZ,d47a1f204c,JuUAkBcv0,11198367f5,2020-10-03 23:49:00.000000000
JuTD311SZ,d47a1f204c,JuUMM86IB,bf921f4267,2020-10-04 00:09:00.000000000
JuTD311SZ,d47a1f204c,JuVHi3GZ5,01caaf3282,2020-10-04 00:57:00.000000000
JuTD311SZ,d47a1f204c,JuY8y5AmQ,55150330e8,2020-10-04 03:15:00.000000000
