origin_id,origin_uid,id,uid,created_at
,f7bad511b2,JoSTd37hz,f7bad511b2,2020-10-03 17:52:00.000000000
JoSTd37hz,f7bad511b2,JoT1f0Jnf,9d34cea7e7,2020-10-03 17:58:00.000000000
JoSTd37hz,f7bad511b2,JoT1vu0Lj,631aaa4c10,2020-10-03 17:58:00.000000000
,343c8f5e38,JoT74FmOE,343c8f5e38,2020-10-03 18:04:00.000000000
JoSTd37hz,f7bad511b2,JoT5I8Jry,d615bb4335,2020-10-03 18:04:00.000000000
JoSTd37hz,f7bad511b2,JoTeU5Fov,f76f5a38d8,2020-10-03 18:08:00.000000000
,434059c0f2,JoThKdxdx,434059c0f2,2020-10-03 18:12:53.333333334
JoSTd37hz,f7bad511b2,JoTnW6qq8,7f138d853c,2020-10-03 18:25:00.000000000
JoThKdxdx,434059c0f2,JoToFxgvz,47e8bb67c1,2020-10-03 18:28:00.000000000
JoSTd37hz,f7bad511b2,JoTrxeoZr,30987c5189,2020-10-03 18:36:00.000000000
JoSTd37hz,f7bad511b2,JoTsAs70t,86a4baac7b,2020-10-03 18:40:00.000000000
JoSTd37hz,f7bad511b2,JoTystJdz,7f7c2e70aa,2020-10-03 18:47:00.000000000
JoSTd37hz,f7bad511b2,JoTAX4FyJ,ee0c8c6a0f,2020-10-03 18:51:00.000000000
JoSTd37hz,f7bad511b2,JoTDqaITU,6365f3db0d,2020-10-03 18:52:00.000000000
JoSTd37hz,f7bad511b2,JoTDo4rJO,9a93716105,2020-10-03 18:52:00.000000000
,39e106c5d8,JoTGweTGu,39e106c5d8,2020-10-03 19:00:00.000000000
JoSTd37hz,f7bad511b2,JoTJAtiQp,2d1fc10767,2020-10-03 19:06:00.000000000
JoSTd37hz,f7bad511b2,JoTMkr67i,0b0099fb2d,2020-10-03 19:09:00.000000000
JoTGweTGu,39e106c5d8,JoTNVnbMP,7d4ca1e843,2020-10-03 19:10:00.000000000
JoTGweTGu,39e106c5d8,JoTTjzdMG,ed07db854b,2020-10-03 19:23:00.000000000
JoThKdxdx,434059c0f2,JoU1iiYTn,f17d3287c2,2020-10-03 19:29:00.000000000
JoT74FmOE,343c8f5e38,JoU6bFv10,d33ec9ab90,2020-10-03 19:29:00.000000000
JoT74FmOE,343c8f5e38,JoUjWsXWe,12233138d8,2020-10-03 19:30:00.000000000
JoSTd37hz,f7bad511b2,JoUBqm1gT,f21ea2e927,2020-10-03 19:32:00.000000000
JoSTd37hz,f7bad511b2,JoURBg3RE,d89aeee76e,2020-10-03 19:33:00.000000000
,a5c5042b6d,JoW3KAfZc,a5c5042b6d,2020-10-03 19:37:06.666666667
,add9d80f6d,JoW3KwXo2,add9d80f6d,2020-10-03 19:39:00.000000000
JoW3KAfZc,a5c5042b6d,JoWbNku9h,0c767a1b46,2020-10-03 19:44:00.000000000
JoSTd37hz,f7bad511b2,JoX30e2R4,b68139a7ce,2020-10-03 19:50:00.000000000
JoSTd37hz,f7bad511b2,JoX6JA6ZW,3aee7a2d85,2020-10-03 19:50:00.000000000
JoW3KwXo2,add9d80f6d,JoXsnFkWh,cb6248cdc0,2020-10-03 19:56:00.000000000
JoW3KAfZc,a5c5042b6d,JoXyEzFwC,fa4153c49a,2020-10-03 19:58:00.000000000
JoSTd37hz,f7bad511b2,JoXyYBUst,f6889bcf2a,2020-10-03 19:59:00.000000000
JoThKdxdx,434059c0f2,JoXzJD7oh,8740c635e5,2020-10-03 19:59:00.000000000
JoSTd37hz,f7bad511b2,JoXDOgUxU,81c48b2597,2020-10-03 20:01:00.000000000
JoT74FmOE,343c8f5e38,JoXDApLSw,3131d01d45,2020-10-03 20:02:00.000000000
JoThKdxdx,434059c0f2,JoXFNbjLK,35cf29239b,2020-10-03 20:05:00.000000000
JoW3KAfZc,a5c5042b6d,JoXGkh0j6,0f7d5ea1e7,2020-10-03 20:06:00.000000000
JoSTd37hz,f7bad511b2,JoXHygOJg,feadcb1c47,2020-10-03 20:07:00.000000000
JoTGweTGu,39e106c5d8,JoY3gcBkq,d8d2d60ebc,2020-10-03 20:13:00.000000000
JoThKdxdx,434059c0f2,JoY2EDF8U,d5abe219d9,2020-10-03 20:13:00.000000000
,acf0d8dcc3,JoYfCbXDK,acf0d8dcc3,2020-10-03 20:14:46.666666667
JoW3KAfZc,a5c5042b6d,JoYepqiBr,1ea00c06a2,2020-10-03 20:15:00.000000000
JoYfCbXDK,acf0d8dcc3,JoYsAsgD6,3e7f82732a,2020-10-03 20:18:00.000000000
JoYfCbXDK,acf0d8dcc3,JoYuJqB5G,c25998ae0f,2020-10-03 20:19:00.000000000
JoThKdxdx,434059c0f2,JoYtIuajn,5e09561e3a,2020-10-03 20:19:00.000000000
JoW3KAfZc,a5c5042b6d,JoYFCn2Ir,9ce964673e,2020-10-03 20:21:00.000000000
JoSTd37hz,f7bad511b2,JoYG0BRy6,5cbe18ceef,2020-10-03 20:23:00.000000000
JoW3KwXo2,add9d80f6d,JoZbAupem,c5ebdba04d,2020-10-03 20:27:00.000000000
