origin_id,origin_uid,id,uid,created_at
,ebf7cf386f,JuvfanSCO,ebf7cf386f,2020-10-03 19:14:33.333333334
JuvfanSCO,ebf7cf386f,Juwirc1J9,49992e50e9,2020-10-03 19:22:00.000000000
JuvfanSCO,ebf7cf386f,Juwjn3KhM,8ad62504b5,2020-10-03 19:29:00.000000000
JuvfanSCO,ebf7cf386f,JuwpjfKDU,fdab7edcf3,2020-10-03 19:52:00.000000000
JuvfanSCO,ebf7cf386f,JuwpX75a8,9a55ad322d,2020-10-03 19:55:00.000000000
JuvfanSCO,ebf7cf386f,JuwqOB0Wv,728941ed93,2020-10-03 19:56:00.000000000
JuvfanSCO,ebf7cf386f,JuwsWaczm,46caaf86e4,2020-10-03 20:02:00.000000000
JuvfanSCO,ebf7cf386f,JuwuA6SG6,2814cac61d,2020-10-03 20:10:00.000000000
JuvfanSCO,ebf7cf386f,JuwvhwVao,67214a5312,2020-10-03 20:13:00.000000000
JuvfanSCO,ebf7cf386f,JuwvQ5fD2,5058d08f07,2020-10-03 20:16:00.000000000
JuvfanSCO,ebf7cf386f,JuwwQaEVT,4f28c2c676,2020-10-03 20:24:00.000000000
JuvfanSCO,ebf7cf386f,Juwyc4Lc4,3a981f3f5d,2020-10-03 20:29:00.000000000
JuvfanSCO,ebf7cf386f,JuwAhvd2R,fafafa2642,2020-10-03 20:39:00.000000000
JuvfanSCO,ebf7cf386f,JuwAzwGep,4bbdca17aa,2020-10-03 20:44:00.000000000
JuvfanSCO,ebf7cf386f,JuwBj3fzP,80f3d40290,2020-10-03 20:47:00.000000000
JuvfanSCO,ebf7cf386f,JuwB9vhG1,77f23eb523,2020-10-03 20:47:00.000000000
JuvfanSCO,ebf7cf386f,JuwHkdmJH,942404f350,2020-10-03 21:20:00.000000000
,bb7cbfb5b5,JuzlNoHdL,bb7cbfb5b5,2020-10-03 21:38:13.333333334
JuvfanSCO,ebf7cf386f,JuwPmszqt,378cec7311,2020-10-03 21:41:00.000000000
JuvfanSCO,ebf7cf386f,JuwXek2MM,ad38d2ea42,2020-10-03 22:01:00.000000000
JuvfanSCO,ebf7cf386f,Jux0ErA0I,a019291f72,2020-10-03 22:09:00.000000000
JuvfanSCO,ebf7cf386f,Jux6ggqoS,ddaf32ecb9,2020-10-03 22:27:00.000000000
,64431bbd82,JuzhJkkPR,64431bbd82,2020-10-03 22:52:20.000000000
JuvfanSCO,ebf7cf386f,JuxMw4e9q,10c71c1c9e,2020-10-03 23:01:00.000000000
JuvfanSCO,ebf7cf386f,Juynv5jLN,4b7a260690,2020-10-03 23:07:00.000000000
JuvfanSCO,ebf7cf386f,JuyFpzXFZ,93c5a8ec3e,2020-10-03 23:08:00.000000000
JuzlNoHdL,bb7cbfb5b5,Juzuelyg5,feba6ed2ab,2020-10-03 23:12:00.000000000
JuzlNoHdL,bb7cbfb5b5,Juzu5goBP,feba6ed2ab,2020-10-03 23:12:00.000000000
JuvfanSCO,ebf7cf386f,JuzwX47JL,b4b9b25340,2020-10-03 23:12:00.000000000
JuzhJkkPR,64431bbd82,Juzrzd1vP,baf6f50eb5,2020-10-03 23:12:00.000000000
JuzhJkkPR,64431bbd82,JuzIK6WjV,094cccf08b,2020-10-03 23:19:00.000000000
JuvfanSCO,ebf7cf386f,JuzPW6li2,41b1e0f1e6,2020-10-03 23:22:00.000000000
JuvfanSCO,ebf7cf386f,JuzS7DvLD,82afee8d84,2020-10-03 23:23:00.000000000
JuvfanSCO,ebf7cf386f,JuzXplGM8,0f501725a9,2020-10-03 23:27:00.000000000
JuzlNoHdL,bb7cbfb5b5,JuA1ZCthK,e87ad9f870,2020-10-03 23:31:00.000000000
JuzhJkkPR,64431bbd82,JuA2FA5cg,baf6f50eb5,2020-10-03 23:32:00.000000000
JuvfanSCO,ebf7cf386f,JuA8d0gzZ,f51aae9865,2020-10-03 23:48:00.000000000
JuvfanSCO,ebf7cf386f,JuA8JpTsP,77b13c1fff,2020-10-03 23:49:00.000000000
JuvfanSCO,ebf7cf386f,JuAfyBOGk,44faf863b3,2020-10-04 00:20:00.000000000
JuvfanSCO,ebf7cf386f,JuAjFEATK,8d9abc1bfc,2020-10-04 00:57:00.000000000
JuvfanSCO,ebf7cf386f,JuAlYjH3G,f4ed1b512a,2020-10-04 01:14:00.000000000
JuzhJkkPR,64431bbd82,JuAoWFCJ1,1d3bc7bc63,2020-10-04 02:09:00.000000000
JuvfanSCO,ebf7cf386f,JuApv0KUW,cea7d140ff,2020-10-04 02:55:00.000000000
JuvfanSCO,ebf7cf386f,JuAq2lPqj,39896c1c78,2020-10-04 03:15:00.000000000
JuvfanSCO,ebf7cf386f,JuAv31fQ1,a1cf6dcfd1,2020-10-04 06:01:00.000000000
JuvfanSCO,ebf7cf386f,JuADOlhBb,7b413e4dce,2020-10-04 07:31:00.000000000
JuvfanSCO,ebf7cf386f,JuAJgr7PF,25f5e292a7,2020-10-04 08:07:00.000000000
JuvfanSCO,ebf7cf386f,JuALtyFr5,b2f783bdb5,2020-10-04 08:33:00.000000000
