Unnamed: 0.1,index,origin_id,origin_uid,id,uid,created_at
0,0,,,JnwKYuCOF,055668023b,2020-10-03 23:26:20
1,1,JnwKYuCOF,3858746878.0,Jnx2m9fMP,3ae783a246,2020-10-03 23:27:00
2,2,JnwKYuCOF,3858746878.0,Jnx3oeiyL,228eb22af3,2020-10-03 23:30:00
3,3,JnwKYuCOF,3858746878.0,Jnx3Ethdt,c02ff81d33,2020-10-03 23:31:00
4,4,JnwKYuCOF,3858746878.0,Jnx3ZtcHU,96a650f4e5,2020-10-03 23:31:00
5,5,JnwKYuCOF,3858746878.0,Jnx3S7dZj,7dae2ac758,2020-10-03 23:31:00
6,6,JnwKYuCOF,3858746878.0,Jnx3RvB1V,3c8f25c95c,2020-10-03 23:31:00
7,7,JnwKYuCOF,3858746878.0,Jnx476Zmd,f48c84ed65,2020-10-03 23:32:00
8,8,JnwKYuCOF,3858746878.0,Jnx4fa86n,eb0f52373f,2020-10-03 23:32:00
9,9,JnwKYuCOF,3858746878.0,Jnx4mdo4W,6813a23269,2020-10-03 23:32:00
10,10,JnwKYuCOF,3858746878.0,Jnx4d2KjU,4a482930b9,2020-10-03 23:32:00
12,11,JnwKYuCOF,3858746878.0,Jnx4MboRN,8baf651b32,2020-10-03 23:33:00
11,12,JnwKYuCOF,3858746878.0,Jnx4wxKTs,631fcb4522,2020-10-03 23:33:00
13,13,JnwKYuCOF,3858746878.0,Jnx4Y2OWr,80517345a9,2020-10-03 23:34:00
14,14,JnwKYuCOF,3858746878.0,Jnx5o6lfe,00994ecfcf,2020-10-03 23:35:00
15,15,JnwKYuCOF,3858746878.0,Jnx5v6j9D,b518c390c7,2020-10-03 23:35:00
16,16,JnwKYuCOF,3858746878.0,Jnx6MjUFp,4428286b50,2020-10-03 23:38:00
17,17,JnwKYuCOF,3858746878.0,Jnx71pcVK,8baf651b32,2020-10-03 23:39:00
18,18,JnwKYuCOF,3858746878.0,Jnx8n1JHr,26656f9986,2020-10-03 23:42:00
19,19,JnwKYuCOF,3858746878.0,Jnx8wezmS,c685dd8a3b,2020-10-03 23:43:00
20,20,JnwKYuCOF,3858746878.0,JnxcU4GZ3,7523227e10,2020-10-03 23:53:00
21,21,JnwKYuCOF,3858746878.0,Jnxd5xI1J,7a9ca0b68f,2020-10-03 23:54:21
22,22,JnwKYuCOF,3858746878.0,Jnxd7kaQu,2fb7d5c4d4,2020-10-03 23:54:25
23,23,JnwKYuCOF,3858746878.0,Jnxde99gG,34fb7afae3,2020-10-03 23:54:42
24,24,JnwKYuCOF,3858746878.0,Jnxdjumnu,0bed0cec9e,2020-10-03 23:54:55
25,25,JnwKYuCOF,3858746878.0,JnxdCmSi2,092ecf9278,2020-10-03 23:55:00
26,26,JnwKYuCOF,3858746878.0,JnxdyxqDT,275f3cb649,2020-10-03 23:55:31
27,27,JnwKYuCOF,3858746878.0,JnxdTfILq,70870af34c,2020-10-03 23:56:00
28,28,JnwKYuCOF,3858746878.0,JnxdW9JKf,a2e3e8a516,2020-10-03 23:56:00
29,29,JnwKYuCOF,3858746878.0,JnxdX0MW5,44146362c3,2020-10-03 23:56:29
30,30,JnwKYuCOF,3858746878.0,Jnxez8X4W,19ff81b7f5,2020-10-03 23:57:00
31,31,JnwKYuCOF,3858746878.0,Jnxeu9KPx,2d80315f8a,2020-10-03 23:57:00
32,32,JnwKYuCOF,3858746878.0,JnxehbQ6B,2f341a5fe9,2020-10-03 23:57:00
33,33,JnwKYuCOF,3858746878.0,JnxeADzll,4322ffc3fe,2020-10-03 23:58:00
37,34,JnwKYuCOF,3858746878.0,Jnxf5FaGk,f15e441c27,2020-10-03 23:59:00
36,35,JnwKYuCOF,3858746878.0,JnxfbzMqw,943fcf3fe4,2020-10-03 23:59:00
35,36,JnwKYuCOF,3858746878.0,Jnxfmsvso,2dddda1c9a,2020-10-03 23:59:00
34,37,JnwKYuCOF,3858746878.0,Jnxfn5h0m,40b8225cd5,2020-10-03 23:59:00
38,38,JnwKYuCOF,3858746878.0,JnzIMo6lE,34cada3809,2020-10-04 06:17:00
39,39,JnwKYuCOF,3858746878.0,JnzXasooI,ed83e9ac8f,2020-10-04 06:53:00
40,40,JnwKYuCOF,3858746878.0,JnzYR5Vcc,90441b1d8e,2020-10-04 06:57:00
41,41,JnwKYuCOF,3858746878.0,JnAj6FIy2,aae0b61386,2020-10-04 07:47:00
42,42,JnwKYuCOF,3858746878.0,JnAlZEhGt,3ee05330dc,2020-10-04 07:54:00
43,43,JnwKYuCOF,3858746878.0,JnArI2HBX,6a3c327e17,2020-10-04 08:08:00
44,44,JnwKYuCOF,3858746878.0,JnAyA4dr1,8e9373fcda,2020-10-04 08:25:00
45,45,JnwKYuCOF,3858746878.0,JnAF7yrGM,cc442879f1,2020-10-04 08:41:00
46,46,JnwKYuCOF,3858746878.0,JnAHhnMmy,dad5ed666d,2020-10-04 08:46:00
47,47,JnwKYuCOF,3858746878.0,JnALEmSA8,0b52a3dea0,2020-10-04 08:57:00
48,48,JnwKYuCOF,3858746878.0,JnANwuxd5,120a044096,2020-10-04 09:02:00
49,49,JnwKYuCOF,3858746878.0,JnANyh14P,162cbbeb15,2020-10-04 09:02:00
50,50,JnwKYuCOF,3858746878.0,JnANplK1h,06bf99bad7,2020-10-04 09:02:00
51,51,JnwKYuCOF,3858746878.0,JnANtyiPG,162cbbeb15,2020-10-04 09:02:00
52,52,JnwKYuCOF,3858746878.0,JnANurxw2,398c6e9207,2020-10-04 09:02:00
53,53,JnwKYuCOF,3858746878.0,JnANvz5hC,162cbbeb15,2020-10-04 09:02:00
54,54,JnwKYuCOF,3858746878.0,JnANRoWvD,d9b94f591d,2020-10-04 09:03:00
55,55,JnwKYuCOF,3858746878.0,JnANXDlsF,3746666578,2020-10-04 09:03:00
56,56,JnwKYuCOF,3858746878.0,JnAOptlfT,cee0d8a730,2020-10-04 09:04:00
57,57,JnwKYuCOF,3858746878.0,JnAOocZLM,ab09547116,2020-10-04 09:04:00
58,58,JnwKYuCOF,3858746878.0,JnAOdCY3c,d70af5ad77,2020-10-04 09:04:00
59,59,JnwKYuCOF,3858746878.0,JnAOCbPGZ,6fcb5587b1,2020-10-04 09:05:00
60,60,JnwKYuCOF,3858746878.0,JnAP0EXR4,68e37dbacc,2020-10-04 09:06:00
61,61,JnwKYuCOF,3858746878.0,JnAPjzFFJ,35884626a4,2020-10-04 09:06:00
62,62,JnwKYuCOF,3858746878.0,JnAQd5JwH,8f9714e380,2020-10-04 09:08:00
63,63,JnwKYuCOF,3858746878.0,JnAQAqdwn,df34467c72,2020-10-04 09:09:00
64,64,JnwKYuCOF,3858746878.0,JnAQrCFks,2a4133748d,2020-10-04 09:09:00
65,65,JnwKYuCOF,3858746878.0,JnAQto2tz,5b6a93a6a5,2020-10-04 09:09:00
66,66,JnwKYuCOF,3858746878.0,JnARhklnA,b2566d3ba0,2020-10-04 09:11:00
67,67,JnwKYuCOF,3858746878.0,JnAREpstG,e52d76131e,2020-10-04 09:12:00
68,68,JnwKYuCOF,3858746878.0,JnARM11WG,f0b844d333,2020-10-04 09:12:00
69,69,JnwKYuCOF,3858746878.0,JnARx0ad7,83baadfe2f,2020-10-04 09:12:00
70,70,JnwKYuCOF,3858746878.0,JnATygflL,53bf102bb7,2020-10-04 09:17:00
71,71,JnwKYuCOF,3858746878.0,JnAUmubnS,d1a0524263,2020-10-04 09:19:00
72,72,JnwKYuCOF,3858746878.0,JnAWkxy68,10fb22bc7c,2020-10-04 09:24:00
73,73,JnwKYuCOF,3858746878.0,JnAWR0JSw,dbcb2c17b2,2020-10-04 09:25:00
74,74,JnwKYuCOF,3858746878.0,JnAXfzkSc,ec7203cf47,2020-10-04 09:26:00
75,75,JnwKYuCOF,3858746878.0,JnAYgvJBp,2f16024e5f,2020-10-04 09:28:00
76,76,JnwKYuCOF,3858746878.0,JnB1qryp0,a1438d4b53,2020-10-04 09:36:00
77,77,JnwKYuCOF,3858746878.0,JnB4pFDDw,0defa27074,2020-10-04 09:43:00
78,78,JnwKYuCOF,3858746878.0,JnB6HuPUN,1cf67c23ce,2020-10-04 09:49:00
