origin_id,origin_uid,id,uid,created_at
,,JnE6ygXMq,0b30feb707,2020-10-04 17:27:33.333333334
JnE6ygXMq,1887344341.0,JnE6TctMH,7fd0239d27,2020-10-04 17:28:00.000000000
JnE6ygXMq,1887344341.0,JnE7tvXfl,21a40505ca,2020-10-04 17:29:00.000000000
JnE6ygXMq,1887344341.0,JnE7fFUFi,b58e2b009f,2020-10-04 17:29:00.000000000
JnE6ygXMq,1887344341.0,JnE7HqnKw,f63756eea9,2020-10-04 17:30:00.000000000
JnE6ygXMq,1887344341.0,JnE7VBlYC,14aa6d25b3,2020-10-04 17:30:00.000000000
JnE6ygXMq,1887344341.0,JnE7Bd43L,6c0d12ba3a,2020-10-04 17:30:00.000000000
JnE6ygXMq,1887344341.0,JnE8l6KCX,5e81419d94,2020-10-04 17:31:00.000000000
JnE6ygXMq,1887344341.0,JnE81Amqw,511cce8268,2020-10-04 17:31:00.000000000
JnE6ygXMq,1887344341.0,JnE87dp6V,081593bf3f,2020-10-04 17:31:00.000000000
JnE6ygXMq,1887344341.0,JnE8yiWEm,12ca0811b0,2020-10-04 17:32:00.000000000
JnE6ygXMq,1887344341.0,JnE8L2xBJ,9cc147c787,2020-10-04 17:32:00.000000000
JnE6ygXMq,1887344341.0,JnE8PvAIO,7bd83bcc0f,2020-10-04 17:33:00.000000000
JnE6ygXMq,1887344341.0,JnE8WyR3C,bee90598b3,2020-10-04 17:33:00.000000000
JnE6ygXMq,1887344341.0,JnE9zCsXM,109fa5ac2a,2020-10-04 17:34:00.000000000
JnE6ygXMq,1887344341.0,JnE9PxERl,5dee1884e3,2020-10-04 17:35:00.000000000
JnE6ygXMq,1887344341.0,JnE9EiWb7,f39919f446,2020-10-04 17:35:00.000000000
JnE6ygXMq,1887344341.0,JnE9JFdzm,28a607507f,2020-10-04 17:35:00.000000000
JnE6ygXMq,1887344341.0,JnE9KbmLu,5c1d5b2c64,2020-10-04 17:35:00.000000000
JnE6ygXMq,1887344341.0,JnEacykjV,cc1371e0ba,2020-10-04 17:36:00.000000000
JnE6ygXMq,1887344341.0,JnEa38iqe,3449427efe,2020-10-04 17:36:00.000000000
JnE6ygXMq,1887344341.0,JnEa0sAqy,a416d546c6,2020-10-04 17:36:00.000000000
JnE6ygXMq,1887344341.0,JnEazFCJQ,125e405a4d,2020-10-04 17:37:00.000000000
JnE6ygXMq,1887344341.0,JnEaIxyyv,cbe1f89766,2020-10-04 17:37:00.000000000
JnE6ygXMq,1887344341.0,JnEbgtaT3,94156731a5,2020-10-04 17:39:00.000000000
JnE6ygXMq,1887344341.0,JnEbIzEBr,c8f763c87a,2020-10-04 17:40:00.000000000
JnE6ygXMq,1887344341.0,JnEcaADib,b5c13566af,2020-10-04 17:41:00.000000000
JnE6ygXMq,1887344341.0,JnEdAliyI,3daf6acb25,2020-10-04 17:44:00.000000000
JnE6ygXMq,1887344341.0,JnEdRvJ47,4c4cdb1c97,2020-10-04 17:45:00.000000000
JnE6ygXMq,1887344341.0,JnEg93gW1,06dd4eee18,2020-10-04 17:51:00.000000000
JnE6ygXMq,1887344341.0,JnEgsBCL1,869e740ee3,2020-10-04 17:51:00.000000000
JnE6ygXMq,1887344341.0,JnEinlGtU,78e8617815,2020-10-04 17:56:00.000000000
JnE6ygXMq,1887344341.0,JnEit1Zhn,4dda962aca,2020-10-04 17:56:00.000000000
JnE6ygXMq,1887344341.0,JnEis5taQ,b3d45409a6,2020-10-04 17:56:00.000000000
JnE6ygXMq,1887344341.0,JnEjV3XUz,52d409bad1,2020-10-04 18:00:00.000000000
JnE6ygXMq,1887344341.0,JnElrkFlS,e9d734a8bb,2020-10-04 18:04:00.000000000
JnE6ygXMq,1887344341.0,JnElpyc1N,419c1124bc,2020-10-04 18:04:00.000000000
JnE6ygXMq,1887344341.0,JnElZ4axY,a135e68f5b,2020-10-04 18:05:00.000000000
JnE6ygXMq,1887344341.0,JnEmTbC7Q,47a0e58364,2020-10-04 18:07:00.000000000
JnE6ygXMq,1887344341.0,JnEmW8UOy,be76da1400,2020-10-04 18:07:00.000000000
JnE6ygXMq,1887344341.0,JnEoCri5a,62b997ea39,2020-10-04 18:11:00.000000000
